post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ec7tr,jzur596,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",30 halfway first quarter less ideal especially 0 3
16ec7tr,jzutjp3,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",good see blocking lassiter used receivers good weird see struggle blocker last week
16ec7tr,jzuvz0y,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",huh would figured would ones getting punt blocked
16ec7tr,jzuwhwu,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",thats slovis thought getting please
16ec7tr,jzuxdsi,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",10 fathers team isnt actually high difference fathers generally became intentionally
16ec7tr,jzuyj1k,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",second favorite target year ago didnt realize slovis fan receiver wasnt even team last year
16ec7tr,jzv06bs,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",hearing words bend dont break defense gave ptsd
16ec7tr,jzv0ts4,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",espn mock us byutv ad yes wed prefer broadcasting
16ec7tr,jzv1e16,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",heckard absolutely going outside right toddler kind tackle
16ec7tr,jzv2671,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",honestly extremely risky decision im glad actually worked
16ec7tr,jzv38xw,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",significantly fun halftime halfway first quarter
16ec7tr,jzv79v0,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",wissler someone hoped wed get pwo nice see hes productive suu
16ec7tr,jzv7mpd,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",dang two long completions drive placed perfectly coverage wasnt even bad
16ec7tr,jzvap5u,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",announcer recruiter us hes made many new players us cameron camden definitely new one
16ec7tr,jzvd5up,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",bring fire dancers night november gonna go nuts
16ec7tr,jzvdlgq,southern utah byu 300,southern utah byufbyubyu location byufbyu lavell edwards time 300 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['byu', 'utahstate']","['byu', 'beehiveboot']",im less half hour away theres wind whatsoever
